event_id,dataset,cryptocurrency,event_date,n_tweets,source_file
E1,W,feathercoin,2013-06-07,261,Dataset_feathercoin_07_06_2013.csv
E1,A,feathercoin,2013-06-07,26,Dataset_sub_feathercoin_07_06_2013.csv
E1,B,feathercoin,2013-06-07,51,Dataset_benchmark_feathercoin_07_05_2013.csv
E2,W,bitcoin,2014-06-15,72458,Dataset_bitcoin_15_06_2014.csv
E2,A,bitcoin,2014-06-15,3409,Dataset_sub_bitcoin_15_06_2014.csv
E2,B,bitcoin,2014-06-15,65408,Dataset_benchmark_bitcoin_15_05_2014.csv
E3,W,verge,2018-04-03,6155,Dataset_verge_03_04_2018.csv
E3,A,verge,2018-04-03,599,Dataset_sub_verge_03_04_2018.csv
E3,B,verge,2018-04-03,7804,Dataset_benchmark_XVG_03_03_2018.csv
E4,W,bitcoingold,2018-05-15,2449,Dataset_bitcoingold_15_05_2018.csv
E4,A,bitcoingold,2018-05-15,1012,Dataset_sub_bitcoingold_15_05_2018.csv
E4,B,bitcoingold,2018-05-15,1137,Dataset_benchmark_bitcoingold_15_04_2018.csv
E5,W,verge,2018-05-20,3661,Dataset_verge_20_05_2018.csv
E5,A,verge,2018-05-20,685,Dataset_sub_verge_20_05_2018.csv
E5,B,verge,2018-05-20,4030,Dataset_benchmark_Verge_20_04_2018.csv
E6,W,litecoin_cash,2018-05-29,842,Dataset_litecoin_cash_29_05_2018.csv
E6,A,litecoin_cash,2018-05-29,28,Dataset_sub_litecoin_cash_29_05_2018.csv
E6,B,litecoin_cash,2018-05-29,1338,Dataset_benchmark_litecoin_cash_29_04_2018.csv
E7,W,vertcoin,2018-10-11,1596,Dataset_vertcoin_11_10_2018.csv
E7,A,vertcoin,2018-10-11,382,Dataset_sub_vertcoin_11_10_2018.csv
E7,B,vertcoin,2018-10-11,297,Dataset_benchmark_vertcoin_11_09_2018.csv
E8,W,ethereum_classic,2019-01-04,6840,Dataset_ethereum_classic_04_01_2019.csv
E8,A,ethereum_classic,2019-01-04,4465,Dataset_sub_ethereum_classic_04_01_2019.csv
E8,B,ethereum_classic,2019-01-04,1105,Dataset_benchmark_ethereum_classic_04_12_2018.csv
E9,W,litecoin_cash,2019-07-03,462,Dataset_litecoin_cash_03_07_2019.csv
E9,A,litecoin_cash,2019-07-03,58,Dataset_sub_litecoin_cash_03_07_2019.csv
E9,B,litecoin_cash,2019-07-03,542,Dataset_benchmark_litecoin_cash_03_06_2019.csv
E10,W,vertcoin,2019-11-30,457,Dataset_vertcoin_30_11_2019.csv
E10,A,vertcoin,2019-11-30,378,Dataset_sub_vertcoin_30_11_2019.csv
E10,B,vertcoin,2019-11-30,65,Dataset_benchmark_vertcoin_30_10_2019.csv
E11,W,bitcoingold,2020-01-22,941,Dataset_bitcoingold_22_01_2020.csv
E11,A,bitcoingold,2020-01-22,594,Dataset_sub_bitcoingold_22_01_2020.csv
E11,B,bitcoingold,2020-01-22,293,Dataset_benchmark_bitcoingold_22_12_2019.csv
E12,W,bitcoingold,2020-07-01,712,Dataset_bitcoingold_01_07_2020.csv
E12,A,bitcoingold,2020-07-01,218,Dataset_sub_bitcoingold_01_07_2020.csv
E12,B,bitcoingold,2020-07-01,482,Dataset_benchmark_bitcoingold_01_06_2020.csv
E13,W,ethereum_classic,2020-07-28,1691,Dataset_ethereum_classic_28_07_2020.csv
E13,A,ethereum_classic,2020-07-28,900,Dataset_sub_ethereum_classic_28_07_2020.csv
E13,B,ethereum_classic,2020-07-28,246,Dataset_benchmark_ethereum_classic_28_06_2020.csv
E14,W,ethereum_classic,2020-08-04,1649,Dataset_ethereum_classic_04_08_2020.csv
E14,A,ethereum_classic,2020-08-04,967,Dataset_sub_ethereum_classic_04_08_2020.csv
E14,B,ethereum_classic,2020-08-04,215,Dataset_benchmark_ethereum_classic_04_07_2020.csv
E15,W,ethereum_classic,2020-08-28,1121,Dataset_ethereum_classic_28_08_2020.csv
E15,A,ethereum_classic,2020-08-28,706,Dataset_sub_ethereum_classic_28_08_2020.csv
E15,B,ethereum_classic,2020-08-28,172,Dataset_benchmark_ethereum_classic_28_09_2020.csv
E16,W,bitcoin_sv,2021-06-23,2173,Dataset_bitcoin_sv_23_06_2021.csv
E16,A,bitcoin_sv,2021-06-23,96,Dataset_sub_bitcoin_sv_23_06_2021.csv
E16,B,bitcoin_sv,2021-06-23,1625,Dataset_benchmark_bitcoin_sv_23_05_2021.csv
E17,W,bitcoin_sv,2021-08-02,1137,Dataset_bitcoin_sv_02_08_2021.csv
E17,A,bitcoin_sv,2021-08-02,524,Dataset_sub_bitcoin_sv_02_08_2021.csv
E17,B,bitcoin_sv,2021-08-02,763,Dataset_benchmark_bitcoin_sv_02_09_2021.csv
