event_id,dataset,cryptocurrency,event_date,n_tweets,sentiment,count,percentage
E1,W,feathercoin,2013-06-07,261,negative,42,16.091954022988507
E1,W,feathercoin,2013-06-07,261,neutral,143,54.78927203065134
E1,W,feathercoin,2013-06-07,261,positive,76,29.118773946360154
E1,A,feathercoin,2013-06-07,26,negative,24,92.3076923076923
E1,A,feathercoin,2013-06-07,26,neutral,1,3.8461538461538463
E1,A,feathercoin,2013-06-07,26,positive,1,3.8461538461538463
E1,B,feathercoin,2013-06-07,51,negative,10,19.607843137254903
E1,B,feathercoin,2013-06-07,51,neutral,22,43.13725490196079
E1,B,feathercoin,2013-06-07,51,positive,19,37.254901960784316
E2,W,bitcoin,2014-06-15,72458,negative,12307,16.985012006955753
E2,W,bitcoin,2014-06-15,72458,neutral,29001,40.02456595545005
E2,W,bitcoin,2014-06-15,72458,positive,31150,42.99042203759419
E2,A,bitcoin,2014-06-15,3409,negative,1955,57.34819595189205
E2,A,bitcoin,2014-06-15,3409,neutral,441,12.936344969199178
E2,A,bitcoin,2014-06-15,3409,positive,1013,29.715459078908772
E2,B,bitcoin,2014-06-15,65408,negative,10624,16.2426614481409
E2,B,bitcoin,2014-06-15,65408,neutral,27196,41.579011741682976
E2,B,bitcoin,2014-06-15,65408,positive,27588,42.178326810176124
E3,W,verge,2018-04-03,6155,negative,2468,40.09748172217709
E3,W,verge,2018-04-03,6155,neutral,1417,23.021933387489845
E3,W,verge,2018-04-03,6155,positive,2270,36.88058489033306
E3,A,verge,2018-04-03,599,negative,525,87.64607679465776
E3,A,verge,2018-04-03,599,neutral,25,4.173622704507513
E3,A,verge,2018-04-03,599,positive,49,8.180300500834724
E3,B,verge,2018-04-03,7804,negative,388,4.971809328549462
E3,B,verge,2018-04-03,7804,neutral,1068,13.685289595079446
E3,B,verge,2018-04-03,7804,positive,6348,81.34290107637109
E4,W,bitcoingold,2018-05-15,2449,negative,1380,56.34953042057983
E4,W,bitcoingold,2018-05-15,2449,neutral,317,12.944058799510005
E4,W,bitcoingold,2018-05-15,2449,positive,752,30.70641077991017
E4,A,bitcoingold,2018-05-15,1012,negative,958,94.66403162055336
E4,A,bitcoingold,2018-05-15,1012,neutral,8,0.7905138339920948
E4,A,bitcoingold,2018-05-15,1012,positive,46,4.545454545454546
E4,B,bitcoingold,2018-05-15,1137,negative,154,13.544415127528584
E4,B,bitcoingold,2018-05-15,1137,neutral,369,32.45382585751979
E4,B,bitcoingold,2018-05-15,1137,positive,614,54.001759014951624
E5,W,verge,2018-05-20,3661,negative,1688,46.10762086861513
E5,W,verge,2018-05-20,3661,neutral,789,21.55148866429937
E5,W,verge,2018-05-20,3661,positive,1184,32.340890467085494
E5,A,verge,2018-05-20,685,negative,614,89.63503649635037
E5,A,verge,2018-05-20,685,neutral,19,2.7737226277372264
E5,A,verge,2018-05-20,685,positive,52,7.591240875912408
E5,B,verge,2018-05-20,4030,negative,653,16.203473945409428
E5,B,verge,2018-05-20,4030,neutral,1396,34.640198511166254
E5,B,verge,2018-05-20,4030,positive,1981,49.15632754342432
E6,W,litecoin_cash,2018-05-29,842,negative,41,4.869358669833729
E6,W,litecoin_cash,2018-05-29,842,neutral,469,55.70071258907363
E6,W,litecoin_cash,2018-05-29,842,positive,332,39.42992874109264
E6,A,litecoin_cash,2018-05-29,28,negative,4,14.285714285714286
E6,A,litecoin_cash,2018-05-29,28,neutral,22,78.57142857142857
E6,A,litecoin_cash,2018-05-29,28,positive,2,7.142857142857143
E6,B,litecoin_cash,2018-05-29,1338,negative,115,8.594917787742899
E6,B,litecoin_cash,2018-05-29,1338,neutral,891,66.59192825112108
E6,B,litecoin_cash,2018-05-29,1338,positive,332,24.813153961136024
E7,W,vertcoin,2018-10-11,1596,negative,539,33.771929824561404
E7,W,vertcoin,2018-10-11,1596,neutral,486,30.451127819548873
E7,W,vertcoin,2018-10-11,1596,positive,571,35.77694235588972
E7,A,vertcoin,2018-10-11,382,negative,347,90.83769633507853
E7,A,vertcoin,2018-10-11,382,neutral,5,1.3089005235602094
E7,A,vertcoin,2018-10-11,382,positive,30,7.853403141361256
E7,B,vertcoin,2018-10-11,297,negative,37,12.457912457912458
E7,B,vertcoin,2018-10-11,297,neutral,87,29.292929292929294
E7,B,vertcoin,2018-10-11,297,positive,173,58.24915824915825
E8,W,ethereum_classic,2019-01-04,6840,negative,4194,61.31578947368421
E8,W,ethereum_classic,2019-01-04,6840,neutral,670,9.7953216374269
E8,W,ethereum_classic,2019-01-04,6840,positive,1976,28.88888888888889
E8,A,ethereum_classic,2019-01-04,4465,negative,3526,78.96976483762597
E8,A,ethereum_classic,2019-01-04,4465,neutral,91,2.038073908174692
E8,A,ethereum_classic,2019-01-04,4465,positive,848,18.992161254199328
E8,B,ethereum_classic,2019-01-04,1105,negative,295,26.69683257918552
E8,B,ethereum_classic,2019-01-04,1105,neutral,370,33.484162895927604
E8,B,ethereum_classic,2019-01-04,1105,positive,440,39.81900452488688
E9,W,litecoin_cash,2019-07-03,462,negative,46,9.956709956709958
E9,W,litecoin_cash,2019-07-03,462,neutral,276,59.74025974025974
E9,W,litecoin_cash,2019-07-03,462,positive,140,30.303030303030305
E9,A,litecoin_cash,2019-07-03,58,negative,5,8.620689655172415
E9,A,litecoin_cash,2019-07-03,58,neutral,48,82.75862068965517
E9,A,litecoin_cash,2019-07-03,58,positive,5,8.620689655172415
E9,B,litecoin_cash,2019-07-03,542,negative,32,5.904059040590406
E9,B,litecoin_cash,2019-07-03,542,neutral,278,51.291512915129154
E9,B,litecoin_cash,2019-07-03,542,positive,232,42.80442804428044
E10,W,vertcoin,2019-11-30,457,negative,382,83.58862144420131
