dataset,cluster,mean,std,min,max
A,C0,11.542308213061014,10.936705284596401,1.7241379310344827,46.15384615384615
A,C1,12.483660379555976,18.217602721567037,2.8747433264887063,82.14285714285714
A,C2,14.003854524625405,17.06730446597004,0.0,51.37614678899082
A,C3,23.383481801661457,20.56964225194386,3.3333333333333335,79.3103448275862
A,C4,38.586695081096146,29.446330121298892,3.5714285714285716,80.88888888888889
B,C0,24.528226396615892,14.002083189049337,7.3991031390134525,52.30769230769231
B,C1,30.654104532540487,20.09420318951016,6.090998043052838,70.47832585949178
B,C2,10.721136576147867,7.216333531287632,2.3985239852398523,26.153846153846153
B,C3,23.54552722197414,14.294489838936899,7.441860465116279,53.583659491193735
B,C4,10.551005272721614,13.51102726314027,0.0,38.95348837209303
W,C0,21.683475858685277,12.790351526217364,3.8004750593824226,50.483202945237
W,C1,18.41094349813226,16.57694213290516,5.39208921030114,75.05938242280286
W,C2,12.66756149771498,10.232405897268915,0.4750593824228028,30.257247856267863
W,C3,22.191634864221406,14.899176544707778,5.352363960749331,52.35446741560628
W,C4,25.04638428124608,23.771227466965154,1.4251781472684086,64.50292397660819
